timestamp,final_signal_value,spot_price,trust_value,call_wgt_sent,put_wgt_sent,is_atm_heavy,otm_instruments_with_positive_oi_pct_change,call_sentiments_sum,put_sentiments_sum,otm_call_sentiments_sum,otm_put_sentiments_sum,atm_call_sentiments_sum,atm_put_sentiments_sum,itm_call_sentiments_sum,itm_put_sentiments_sum,atm_itm_sentiments_sum,otm_sentiments_sum,trn_oi,call_oi_sum,put_oi_sum,trn_oi_strikes,min_trn_oi,max_trn_oi,up_pct,jerk,instruments_count,filtered_count_low_oi,filtered_count_low_oi_chg,signal_confidence,filtered_count_oi_threshold,reversal_warning,otm_calls_supporting_count,otm_puts_supporting_count,otm_support,reversal_indicator,created_at
2026-02-20 09:26:00,-1.36,25412.15,0.0996,7.6657,5.9878,True,15,8.3307,6.9708,2.0153,2.4837,0.6650,0.9830,5.6504,3.5041,-1.8282,0.4683,-8424650,75213190,66788540,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-10891920,-8424650,0.00,0.00,30,0,0,100.00,3,0,6,7,1,0,2026-02-20 18:54:31
2026-02-20 09:27:00,-2.32,25417.95,0.2619,5.6601,3.1873,True,15,6.2063,3.8892,1.2874,1.7144,0.5462,0.7019,4.3727,1.4730,-2.7440,0.4269,-8424650,75213190,66788540,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-10891920,-8424650,0.00,0.00,30,0,0,100.00,6,0,6,7,1,0,2026-02-20 18:54:40
2026-02-20 09:28:00,-3.72,25423.80,0.2778,8.6112,4.7765,True,15,9.2778,5.5589,1.5344,2.3651,0.6666,0.7825,7.0767,2.4114,-4.5495,0.8306,-7719725,78131365,70411640,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-10891920,-7719725,0.00,28.57,30,0,0,100.00,3,0,6,7,1,0,2026-02-20 18:54:50
2026-02-20 09:29:00,-3.72,25408.25,0.2778,8.6112,4.7765,True,15,9.2778,5.5589,1.5344,2.3651,0.6666,0.7825,7.0767,2.4114,-4.5495,0.8306,-7719725,78131365,70411640,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-10891920,-7719725,0.00,0.00,30,0,0,100.00,3,0,6,7,1,0,2026-02-20 18:55:00
2026-02-20 09:30:00,-2.04,25381.75,0.2118,5.7976,3.8258,True,13,6.4317,4.3932,1.3136,1.5509,0.6341,0.5675,4.4840,2.2748,-2.2758,0.2373,-7719725,78131365,70411640,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-10891920,-7719725,0.00,0.00,30,0,0,100.00,7,0,4,7,1,0,2026-02-20 18:55:07
2026-02-20 09:31:00,-12.37,25424.45,1.1195,8.5448,-2.5007,True,10,9.2803,-3.0849,1.2043,0.9760,0.7355,-0.5842,7.3405,-3.4767,-12.1369,-0.2283,-11038495,79723540,68685045,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-11038495,-7719725,0.00,-104.62,30,0,0,68.50,6,0,3,6,1,0,2026-02-20 18:55:16
2026-02-20 09:32:00,-12.37,25402.75,1.1195,8.5448,-2.5007,True,10,9.2803,-3.0849,1.2043,0.9760,0.7355,-0.5842,7.3405,-3.4767,-12.1369,-0.2283,-11038495,79723540,68685045,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-11038495,-7719725,0.00,0.00,30,0,0,68.50,6,0,3,6,1,0,2026-02-20 18:55:25
2026-02-20 09:33:00,-10.63,25429.30,1.1332,5.3985,-3.9857,True,6,6.0064,-4.6274,0.8078,0.2811,0.6080,-0.6417,4.5906,-4.2668,-10.1072,-0.5267,-11038495,79723540,68685045,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-11038495,-7719725,0.00,0.00,30,0,0,54.84,9,0,1,6,1,0,2026-02-20 18:55:34
2026-02-20 09:34:00,-9.18,25451.95,1.1516,6.5059,-1.4678,True,6,7.1343,-2.0478,0.8171,0.0206,0.6284,-0.5800,5.6888,-1.4884,-8.3856,-0.7966,-9831055,81843190,72012135,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-11038495,-7719725,0.00,36.38,30,0,0,75.48,12,0,1,5,1,0,2026-02-20 18:55:42
2026-02-20 09:35:00,-9.18,25466.35,1.1516,6.5059,-1.4678,True,6,7.1343,-2.0478,0.8171,0.0206,0.6284,-0.5800,5.6888,-1.4884,-8.3856,-0.7966,-9831055,81843190,72012135,"""{\""ce_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""pe_strikes\"": [25050, 25100, 25150, 25200, 25250, 25300, 25350, 25400, 25450, 25500, 25550, 25600, 25650, 25700, 25750], \""atm_ce_fixed\"": 25400, \""opening_spot\"": 25406.55, \""strike_window\"": 7, \""initialized_at\"": \""2026-02-20T18:52:14.917985\""}""",-11038495,-7719725,0.00,0.00,30,0,0,75.48,12,0,1,5,1,0,2026-02-20 18:55:49
